Name,IATA,Country
Dniproavia,,Ukraine
Dominicana de Aviaci,DO,Dominican Republic
Domodedovo Airlines,E3,Russia
DonbassAero,5D,Ukraine
Dragonair,KA,DRAGON
Druk Air,KB,Bhutan
Dubrovnik Air,,Croatia
Dutch Antilles Express,,Netherlands Antilles
dba,DI,Germany
EVA Air,BR,Taiwan
Eagle Air,H7,Uganda
East African,QU,Uganda
Eastern Airways,T3,United Kingdom
Eastland Air,DK,Australia
Ecuavia,,Ecuador
Edelweiss Air,WK,Switzerland
Egyptair,MS,Egypt
El Al Israel Airlines,LY,Israel
El-Buraq Air Transport,UZ,Libya
Emirates,EK,United Arab Emirates
Empresa Ecuatoriana De Aviacion,EU,Ecuador
Eritrean Airlines,B8,Eritrea
Estonian Air,OV,Estonia
Ethiopian Airlines,ET,Ethiopia
Etihad Airways,EY,United Arab Emirates
Euro Exec Express,RZ,Sweden
Eurocypria Airlines,UI,Cyprus
Eurofly Service,GJ,Italy
Eurolot,K2,Poland
European Air Express,EA,Germany
Eurowings,EW,Germany
Evergreen International Airlines,EZ,United States
Excel Airways,JN,United Kingdom
Excel Charter,,United Kingdom
Express One International,EO,United States
ExpressJet,XE,United States
easyJet,U2,United Kingdom
Far Eastern Air Transport,EF,Taiwan
Finnair,AY,Finland
Finncomm Airlines,FC,Finland
Firefly,FY,Malaysia
First Air,7F,Canada
First Choice Airways,DP,United Kingdom
Flightline,B5,United Kingdom
Florida West International Airways,RF,United States
AirAsia X,D7,Malaysia
FlyLal,TE,Lithuania
FlyNordic,LF,Sweden
Flybaboo,F7,Switzerland
Flybe,BE,United Kingdom
Flyglobespan,B4,United Kingdom
Flyhy Cargo Airlines,,Thailand
Formosa Airlines,VY,Taiwan
Freedom Air,FP,United States
Freedom Airlines,,United States
Frontier Airlines,F9,United States
Frontier Flying Service,2F,United States
GB Airways,GT,United Kingdom
Garuda Indonesia,GA,Indonesia
Gazpromavia,4G,Russia
Georgian Airways,A9,Georgia
Georgian National Airlines,QB,Georgia
Germania,ST,Germany
Germanwings,4U,Germany
Ghana International Airlines,G0,Ghana
Go Air,G8,India
GoJet Airlines,G7,United States
Gol Transportes Aéreos,G3,Brazil
Golden Air,DC,Sweden
Great Lakes Airlines,ZK,United States
Grupo TACA,TA,Costa Rica
Gulf Air,,Oman
Gulf Air Bahrain,GF,Bahrain
Gulfstream International Airlines,,United States
Hageland Aviation Services,H6,United States
Hainan Airlines,HU,China
Haiti Ambassador Airlines,2T,Haiti
Hamburg International,4R,Germany
TUIfly,X3,Germany
Hapagfly,HF,Germany
Hawaiian Airlines,HA,United States
Hawkair,BH,Canada
Heli France,8H,France
Helijet,JB,Canada
Hellas Jet,T4,Greece
Hello,HW,Switzerland
Helvetic Airways,2L,Switzerland
Hex'Air,UD,France
Highland Airways,,United Kingdom
Hokkaido International Airlines,HD,Japan
Hong Kong Airlines,HX,Hong Kong SAR of China
Hong Kong Express Airways,UO,Hong Kong SAR of China
Horizon Air,QX,United States
Horizon Airlines,BN,Australia
Iberia Airlines,IB,Spain
Iberworld,TY,Spain
Ibex Airlines,FW,Japan
Icar Air,,Bosnia and Herzegovina
Icelandair,FI,Iceland
Imair Airlines,IK,Azerbaijan
IndiGo Airlines,6E,India
Indian Airlines,IC,India
Indigo,I9,United States
Indonesia AirAsia,QZ,Indonesia
Indonesian Airlines,IO,Indonesia
Interair South Africa,D6,South Africa
Interavia Airlines,ZA,Russia
Interlink Airlines,ID,South Africa
Intersky,3L,Austria
Iran Air,IR,Iran
Iran Aseman Airlines,EP,Iran
Iraqi Airways,IA,Iraq
Island Airlines,IS,United States
Cargo Plus Aviation,8L,United Arab Emirates
Islas Airways,IF,Spain
Islena De Inversiones,WC,Honduras
Israir,6H,Israel
Itek Air,GI,Kyrgyzstan
JAL Express,JC,Japan
JALways,JO,Japan
Japan Airlines,JL,Japan
Japan Airlines Domestic,JL,Japan
Japan Asia Airways,EG,Japan
Japan Transocean Air,NU,Japan
Jazeera Airways,J9,Kuwait
Jeju Air,7C,Republic of Korea
Jet Airways,9W,India
Jet Airways,QJ,United States
Jetstar Asia Airways,3K,Singapore
Jet2.com,LS,United Kingdom
Jet4You,8J,Morocco
JetBlue Airways,B6,United States
Jetairfly,JF,Belgium
Jetflite,,Finland
Jetstar Airways,JQ,Australia
Juneyao Airlines,HO,China
KD Avia,KD,Russia
KLM Cityhopper,WA,Netherlands
KLM Royal Dutch Airlines,KL,Netherlands
Kam Air,RQ,Afghanistan
Kavminvodyavia,KV,Russia
Kendell Airlines,,Australia
Kenmore Air,M5,United States
Kenya Airways,KQ,Kenya
Kingfisher Airlines,IT,India
Kish Air,Y9,Iran
Kogalymavia Air Company,7K,Russia
Korean Air,KE,Republic of Korea
Kosmos,,Russia
Krasnojarsky Airlines,7B,Russia
Kuban Airlines,GW,Russia
Kuwait Airways,KU,Kuwait
Kuzu Airlines Cargo,GO,Turkey
LACSA,LR,Costa Rica
LAN Airlines,LA,Chile
LAN Argentina,4M,Argentina
LAN Express,LU,Chile
LAN Peru,LP,Peru
LOT Polish Airlines,LO,Poland
LTE International Airways,XO,Spain
LTU Austria,L3,Austria
Lao Airlines,QV,Lao Peoples Democratic Republic
LatCharter,,Latvia
Lauda Air,NG,Austria
Leeward Islands Air Transport,LI,Antigua and Barbuda
Libyan Arab Airlines,LN,Libya
Linhas A,LM,Mozambique
Lion Mentari Airlines,JT,Indonesia
Luftfahrtgesellschaft Walter,HE,Germany
Lufthansa,LH,Germany
Lufthansa Cargo,LH,Germany
Lufthansa CityLine,CL,Germany
Lufttransport,L5,Norway
Luxair,LG,Luxembourg
L,MJ,Argentina
MasAir,M7,Mexico
MAT Macedonian Airlines,IN,Macedonia
MIAT Mongolian Airlines,OM,Mongolia
MNG Airlines,MB,Turkey
Macair Airlines,CC,Australia
Maersk,DM,Denmark
Mahan Air,W5,Iran
Malaysia Airlines,MH,Malaysia
Malmo Aviation,,Sweden
Malmö Aviation,TF,Sweden
Malta Air Charter,R5,Malta
Malév,MA,Hungary
Mandala Airlines,RI,Indonesia
Mandarin Airlines,AE,Taiwan
Mango,JE,South Africa
Martinair,MP,Netherlands
Maxair,8M,Sweden
Maya Island Air,MW,Belize
Meridiana,IG,Italy
Merpati Nusantara Airlines,MZ,Indonesia
Mesa Airlines,YV,United States
Mesaba Airlines,XJ,United States
Mexicana de Aviaci,MX,Mexico
Middle East Airlines,ME,Lebanon
Midway Airlines,JI,United States
Midwest Airlines,YX,United States
Midwest Airlines (Egypt),MY,Egypt
Moldavian Airlines,2M,Moldova
Monarch Airlines,ZB,United Kingdom
Myway Airlines,8I,Italy
Montenegro Airlines,YM,Montenegro
Morningstar Air Express,,Canada
Moskovia Airlines,3R,Russia
Motor Sich,M9,Ukraine
MyTravel Airways,VZ,United Kingdom
Myanma Airways,UB,Myanmar
Myanmar Airways International,8M,Myanmar
Myflug,,Iceland
Nasair,UE,Eritrea
National Jet Systems,NC,Australia
Nationwide Airlines,CE,South Africa
Nauru Air Corporation,ON,Nauru
Nepal Airlines,RA,Nepal
NetJets,1I,United States
New England Airlines,EJ,United States
NextJet,2N,Sweden
Niki,HG,Austria
Nok Air,DD,Thailand
Norfolk County Flight College,,United Kingdom
North American Airlines,,Canada
North American Charters,,Canada
Northern Dene Airways,U7,Canada
Northwest Airlines,NW,United States
Northwestern Air,J3,Canada
Norwegian Air Shuttle,DY,Norway
Norwegian Aviation College,,Norway
Nouvel Air Tunisie,BJ,Tunisia
Novair,1I,Sweden
Nas Air,XY,Saudi Arabia
Oasis Hong Kong Airlines,O8,Hong Kong
Ocean Air,,Mauritania
Oceanair,O6,Brazil
Oceanic Airlines,O2,Guinea
Olympic Airlines,OA,Greece
Oman Air,WY,Oman
Omni Air International,OY,United States
One Two Go Airlines,,Thailand
Onur Air,8Q,Turkey
Orenburg Airlines,R2,Russia
Orient Thai Airlines,OX,Thailand
Origin Pacific Airways,QO,New Zealand
Ostfriesische Lufttransport,OL,Germany
Overland Airways,OJ,Nigeria
Ozjet Airlines,O7,Australia
PAN Air,PV,Spain
PB Air,9Q,Thailand
PLUNA,PU,Uruguay
PMTair,U4,Cambodia
Jetstar Pacific,BL,Vietnam
Pacific Coastal Airline,8P,Canada
Pacific East Asia Cargo Airlines,Q8,Philippines
Pacific Island Aviation,,United States
Pacific Wings,LW,United States
Pakistan International Airlines,PK,Pakistan
Paramount Airways,I7,India
Passaredo Transportes Aereos,,Brazil
Pegasus Airlines,PC,Turkey
Peninsula Airways,KS,United States
Philippine Airlines,PR,Philippines
Piedmont Airlines (1948-1989),PI,United States
Pinnacle Airlines,9E,United States
Polet,,Russia
Polynesian Airlines,PH,Samoa
Porter Airlines,PD,Canada
Portugalia,NI,Portugal
Potomac Air,BK,United States
Precision Air,PW,Tanzania
Privatair,,Switzerland
Proflight Commuter Services,P0,Zambia
Qantas,QF,Australia
Qatar Airways,QR,Qatar
RACSA,R6,Guatemala
Kinloss Flying Training Unit,,United Kingdom
Regional Airlines,FN,Morocco
Regional Express,ZL,Australia
Republic Airlines,RW,United States
Republic Express Airlines,RH,Indonesia
Rossiya,R4,Russia
Air Rarotonga,GZ,Cook Islands
Royal Air Maroc,AT,Morocco
Royal Brunei Airlines,BI,Brunei
Royal Jordanian,RJ,Jordan
Royal Nepal Airlines,RA,Nepal
Royal Phnom Penh Airways,,Cambodia
Rusline,,Russia
Rwandair Express,WB,Rwanda
Ryan Air Services,,United States
Ryan International Airlines,RD,United States
Ryanair,FR,Ireland
Régional,YS,France
SATA International,S4,Portugal
South African Airways,SA,South Africa
Shaheen Air International,NL,Pakistan
Scandinavian Airlines System,SK,Sweden
ScotAirways,,United Kingdom
S7 Airlines,S7,Russia
Seaborne Airlines,BB,United States
Scenic Airlines,,United States
SriLankan Airlines,UL,Sri Lanka
Sun Country Airlines,SY,United States
Southeast Air,,United States
Sky Express,G3,Greece
Spicejet,SG,India
Star Flyer,7G,Japan
Skagway Air Service,N5,United States
Sahara Airlines,,Algeria
SATA Air Acores,SP,Portugal
Singapore Airlines,SQ,Singapore
Sibaviatrans,5M,Russia
Skynet Airlines,SI,Ireland
Sriwijaya Air,SJ,Indonesia
Sama Airlines,ZS,Saudi Arabia
Singapore Airlines Cargo,SQ,Singapore
Siem Reap Airways,FT,Cambodia
South East Asian Airlines,DG,Philippines
Skyservice Airlines,5G,Canada
Servicios de Transportes A,FS,Argentina
Sudan Airways,SD,Sudan
Saudi Arabian Airlines,SV,Saudi Arabia
Southwest Airlines,WN,United States
Southern Winds Airlines,A4,Argentina
Swiss International Air Lines,LX,Switzerland
Swissair,SR,Switzerland
Swiss European Air Lines,,Switzerland
Swe Fly,WV,Sweden
SunExpress,XQ,Turkey
Syrian Arab Airlines,RB,Syrian Arab Republic
Skywalk Airlines,AL,United States
Shandong Airlines,SC,China
SAS Braathens,,Norway
Spring Airlines,9S,China
Sichuan Airlines,3U,China
Shanghai Airlines,FM,China
Shenzhen Airlines,ZH,China
Sun D'Or,7L,Israel
SkyEurope,NE,Slovakia
Sky Europe Airlines,,Slovakia
Spanair,JK,Spain
Spirit Airlines,NK,United States
SATENA,9R,Colombia
Skywest Airlines,,Australia
Santa Barbara Airlines,S3,Venezuela
Sky Airline,H2,Chile
SkyWest,OO,United States
Skyways Express,JZ,Sweden
Skymark Airlines,BC,Japan
SilkAir,MI,Singapore
Surinam Airways,PY,Suriname
Sterling Airlines,NB,Denmark
Skynet Asia Airways,6J,Japan
Solomon Airlines,IE,Solomon Islands
Southern Airways,,United States
Saratov Aviation Division,6W,Russia
Sat Airlines,HZ,Kazakhstan
South Pacific Island Airways,,United States
Shuttle America,S5,United States
Scat Air,DV,Kazakhstan
TAME,EQ,Ecuador
TAM Brazilian Airlines,JJ,Brazil
TAP Portugal,TP,Portugal
Tunisair,TU,Tunisia
Thai Air Cargo,T2,Thailand
Thomas Cook Airlines,FQ,Belgium
Thomas Cook Airlines,MT,United Kingdom
Trigana Air Service,,Indonesia
Tiger Airways,TR,Singapore
Tiger Airways Australia,TT,Australia
Thai Airways International,TG,Thailand
Turk Hava Kurumu Hava Taksi Isletmesi,,Turkey
Thai AirAsia,FD,Thailand
Turkish Airlines,TK,Turkey
Tajikistan International Airlines,,Tajikistan
Twin Jet,T7,France
Translift Airways,,Ireland
Trans Mediterranean Airlines,TL,Lebanon
Tiara Air,3P,Aruba
Thomsonfly,BY,United Kingdom
Tropic Air,PM,Belize
TAMPA,QT,Colombia
TransAsia Airways,GE,Taiwan
Transavia Holland,HV,Netherlands
TACV,VR,Portugal
Transwest Air,9T,Canada
Transaero Airlines,UN,Russia
Turkmenistan Airlines,T5,Turkmenistan
Tuninter,UG,Tunisia
Travel Service,QS,Czech Republic
TUIfly Nordic,6B,Sweden
TAAG Angola Airlines,DT,Angola
Turkish Air Force,,Turkey
TAM Mercosur,PZ,Paraguay
Trans States Airlines,AX,United States
Tarom,RO,Romania
Turan Air,3T,Azerbaijan
TRIP Linhas A,8R,Brazil
USA3000 Airlines,U5,United States
United Airlines,UA,United States
United Air Charters,,Zimbabwe
Ural Airlines,U6,Russia
UM Airlines,UF,Ukraine
US Airways,US,United States
US Helicopter,,United States
UTair Aviation,UT,Russia
United States Air Force,,United States
Uzbekistan Airways,HY,Uzbekistan
Ukraine International Airlines,PS,Ukraine
US Helicopter Corporation,UH,United States
Valuair,VF,Singapore
Vasco Air,,Vietnam
Vietnam Airlines,VN,Vietnam
VIM Airlines,NN,Russia
Volaris,Y4,Mexico
Volga-Dnepr Airlines,VI,Russia
Virgin America,VX,United States
Virgin Express,TV,Belgium
Virgin Nigeria Airways,VK,Nigeria
Virgin Atlantic Airways,VS,United Kingdom
Viva Macau,ZG,Macao
Volare Airlines,VE,Italy
Vueling Airlines,VY,Spain
Vladivostok Air,XF,Russia
Varig Log,LC,Brazil
Virgin Australia,VA,Australia
VRG Linhas Aereas,RG,Brazil
VASP,VP,Brazil
VLM Airlines,VG,Belgium
Wayraper,7W,Peru
WebJet Linhas A,WJ,Brazil
Welcome Air,2W,Austria
West Coast Air,8O,Canada
WestJet,WS,Canada
Western Airlines,WA,United States
Widerøe,WF,Norway
Wind Jet,IV,Italy
Wings Air,IW,Indonesia
Wizz Air,W6,Hungary
Wizz Air Hungary,8Z,Bulgaria
World Airways,WO,United States
XL Airways France,SE,France
Xiamen Airlines,MF,China
Yamal Airlines,YL,Russia
Yemenia,IY,Yemen
Yuzhmashavia,,Ukraine
Zanair,,Tanzania
Zoom Airlines,Z4,Canada
Tyrolean Airways,\N,\N
Maldivian Air Taxi,8Q,Maldives
Sky Express,XW,Russia
Royal Air Cambodge,VJ,Cambodia
Air Mandalay,6T,Burma
Air Busan,BX,Republic of Korea
Globus,GH,Russia
Air Kazakhstan,9Y,Kazakhstan
Japan Air System,JD,Japan
EasyJet (DS),DS,Switzerland
Star Peru (2I),2I,Peru
Carnival Air Lines,KW,United States
United Airways,4H,Bangladesh
Fly540,5H,Kenya
Transavia France,TO,France
Island Air (WP),WP,United States
Uni Air,B7,Taiwan
Gomelavia,YD,Belarus
Red Wings,WZ,Russia
TUIfly (X3),11,Germany
Felix Airways,FU,Yemen
Kostromskie avialinii,K1,Russia
Greenfly,XX,Spain
Tajik Air,7J,Tajikistan
Air Mozambique,TM,Mozambique
ELK Airways,--,Estonia
Gabon Airlines,GY,Gabon
MCA Airlines,,Sweden
Maldivo Airlines,ML,Maldives
Virgin Pacific,VH,Fiji
Zest Air,Z2,Philippines
Yangon Airways,HK,Burma
Eastar Jet,ZE,South Korea
Jin Air,LJ,South Korea
Wataniya Airways,,Kuwait
Air Arabia Maroc,3O,Morocco
Baltic Air lines,B1,Latvia
Ciel Canadien,YC,Canada
Canadian National Airways,CN,Canada
Epic Holiday,FA,United States
Indochina Airlines,,Vietnam
Air Comet Chile,3I,Chile
German Air Force - FLB,,Germany
Line Blue,L8,Germany
FlyLAL Charters,,Lithuania
Salzburg arrows,SZ,Austria
Texas Wings,TQ,United States
Dennis Sky,DH,Israel
Zz,ZZ,Belgium
Atifly,A1,United States
Aerolineas heredas santa maria,,Dominican Republic
Ciao Air,99,Italy
Jc royal.britannica,,United Kingdom
Pal airlines,5P,Chile
CanXpress,C1,Canada
Danube Wings (V5),V5,Slovakia
Sharp Airlines,SH,Australia
CanXplorer,C2,Canada
Click (Mexicana),QA,Mexico
World Experience Airline,W1,Canada
ALAK,J4,Russia
Air Choice One,3E,United States
Tianjin Airlines,,China
China United,KN,China
Locair,ZQ,United States
Safi Airlines,4Q,Afghanistan
SeaPort Airlines,K5,United States
Salmon Air,S6,United States
Bobb Air Freight,1,Germany
Star1 Airlines,V9,Lithuania
Pelita,6D,Indonesia
Alaska Seaplane Service,J5,United States
Enerjet,,Canada
MexicanaLink,I6,Mexico
Island Spirit,IP,Iceland
TACA Peru,T0,Peru
Orbest,,Portugal
Southern Air Charter,,Bahamas
SVG Air,,Saint Vincent and the Grenadines
Air Century,,Dominican Republic
Pan Am World Airways Dominicana,7Q,Dominican Republic
Primera Air,PF,Iceland
Air Antilles Express,3S,Guadeloupe
Sol Lineas Aereas,,Argentina
Regional Paraguaya,P7,Paraguay
VIP Ecuador,V6,Ecuador
Transportes Aereos Cielos Andinos,,Peru
Peruvian Airlines,P9,Peru
EasyFly,,Colombia
Polar Airlines,ЯП,Russia
Catovair,OC,Mauritius
Andalus Lineas Aereas,,Spain
Air 26,,Angola
Mauritania Airways,,Mauritania
CEIBA Intercontinental,,Equatorial Guinea
Halcyonair,7Z,Cape Verde
Business Aviation,4P,Congo (Kinshasa)
Compagnie Africaine d\\'Aviation,E9,Congo (Kinshasa)
Zambia Skyways,K8,Zambia
AlMasria Universal Airlines,UJ,Egypt
EgyptAir Express,,Egypt
SmartLynx Airlines,6Y,Latvia
Air Italy Egypt,,Egypt
KoralBlue Airlines,K7,Egypt
Wind Rose Aviation,,Ukraine
Elysian Airlines,E4,Cameroon
Sevenair,,Tunisia
Hellenic Imperial Airways,HT,Greece
Amsterdam Airlines,WD,Netherlands
Arik Niger,Q9,Niger
Dana Air,DA,Nigeria
STP Airways,8F,Sao Tome and Principe
Med Airways,7Y,Lebanon
Skyjet Airlines,UQ,Uganda
Air Volga,G6,Russia
Transavia Denmark,,Denmark
Royal Falcon,RL,Jordan
Euroline,4L,Georgia
Turkuaz Airlines,,Turkey
Athens Airways,ZF,Greece
Viking Hellas,VQ,Greece
Norlandair,,Iceland
Flugfelag Vestmannaeyja,,Iceland
Starline.kz,DZ,Kazakhstan
Lugansk Airlines,L7,Ukraine
Gryphon Airlines,6P,United States
Gadair European Airlines,GP,Spain
Spirit of Manila Airlines,SM,Philippines
Chongqing Airlines,OQ,China
Grand China Air,,China
West Air China,PN,China
